,Sentence,Label
0,Allah aþkýna bi fýrça neden 250 tl neden yani iþin sinir bozucu yaný o fýrçaya eþdeðer fýrça bulamamak,"kizgin"
1,Muavin bir þey içip içmediðimi sormak için beni uykumdan uyandýrdý hala þaþkýným,"surpriz"
2,Herkese güzel günler öpüyorum sizler tivitýr alemi,"mutlu"
3,Ya þu sevgililerin birbirine þifre verme olayýna sinir oluyorum madem güvenmiyorsun ne diye sevgili sýfatýn da,"kizgin"
4,Almanya'da 'yok artýk' dedirten olay! Nereye park ettiðini unuttuðu arabasýný 20 yýl sonra buldu ,"surpriz"
5,O kadar öfkeliyim ki artýk kelimelerim yetmiyor bunu atmaya içimden,"kizgin"
6,Kýzlar salak mýsýnýz gidin okuyun mal gibi evleniyorsunuz,"kizgin"
7,Cidden evde kalmak bana iyi gelmiyor okulda hiç yoktan sinirimi ve nefretimi atabiliyorum evde iyice kafayý yiyeceðim,"kizgin"
8,Hangi kanalý açsam laf oluyor hep bir siyaset ben de þaþtým kaldým müþteriler,"surpriz"
9,Bu gece Ayþenur ile son gecem. uzgunüm,"uzgun"
10,Yýprandým ya daha ne kadar sömürebilirsiniz acaba,"uzgun"
11,"Nasýl bir enerji varsa havada, kendimi harika hissediyorum, bir de bütün dileklerim gerçek olursa, tutmayýn benii :) :)","mutlu"
12,Piþmaným daha önce kitap okumadýðým için,"uzgun"
13,Peaky blinders’e baþlýorum çok heyecanlýyým hadi hayýrlý olsun,"mutlu"
14,Uçaktan inince herkesin önüne geçmek gibi bir hata yaptým arkamda 100 kiþi var yanlýþ yöne gideceðim diye ödüm koptu,"korku"
15,"Keþke bütün sorunlarýmý uyuyarak çözebilseydim, ben uyumayýp çözmeye çalýþýp üstüne bir de çözemiyorum yaþayamýyorum ben hayatý","uzgun"
16,Kimya dersinden nefret ediyorum çünkü mol çözemiyorum,"kizgin"
